"","geoid","bike","rail","bus"
"1",1001020100,0,0,0
"2",1001020200,0,1,0
"3",1001020300,0,0,0
"4",1001020400,0,0,0
"5",1001020500,0,0,0
"6",1001020600,0,0,0
"7",1001020700,0,1,0
"8",1001020801,0,1,0
"9",1001020802,0,1,0
"10",1001020900,0,1,0
"11",1001021000,0,1,0
"12",1001021100,0,1,0
"13",1003010100,0,0,0
"14",1003010200,0,1,0
"15",1003010300,0,1,1
"16",1003010400,0,1,1
"17",1003010500,0,1,1
"18",1003010600,0,1,1
"19",1003010701,0,1,1
"20",1003010703,0,0,1
"21",1003010704,0,0,0
"22",1003010705,0,0,1
"23",1003010800,0,0,1
"24",1003010903,0,0,1
"25",1003010904,0,0,1
"26",1003010905,0,0,1
"27",1003010906,0,0,0
"28",1003011000,0,0,1
"29",1003011101,0,0,1
"30",1003011102,0,0,0
"31",1003011201,0,0,1
"32",1003011202,0,0,1
"33",1003011300,0,0,0
"34",1003011401,0,0,0
"35",1003011403,0,0,0
"36",1003011405,0,0,0
"37",1003011406,0,0,0
"38",1003011407,0,0,0
"39",1003011408,0,0,0
"40",1003011501,0,0,0
"41",1003011502,0,0,1
"42",1003011601,0,0,0
"43",1003011602,0,0,0
"44",1003990000,0,0,0
"45",1005950100,0,0,0
"46",1005950200,0,1,0
"47",1005950300,0,0,0
"48",1005950400,0,0,0
"49",1005950500,0,0,0
"50",1005950600,0,1,0
"51",1005950700,0,0,0
"52",1005950800,0,0,0
"53",1005950900,0,1,0
"54",1007010001,0,1,0
"55",1007010002,0,1,0
"56",1007010003,0,1,0
"57",1007010004,0,0,0
"58",1009050101,0,0,0
"59",1009050102,0,0,0
"60",1009050200,0,0,0
"61",1009050300,0,0,0
"62",1009050400,0,0,0
"63",1009050500,0,0,0
"64",1009050601,0,0,0
"65",1009050602,0,1,0
"66",1009050700,0,0,0
"67",1011952100,0,0,0
"68",1011952200,0,0,0
"69",1011952500,0,0,0
"70",1013952700,0,1,0
"71",1013952800,0,1,0
"72",1013952900,0,1,0
"73",1013953000,0,0,0
"74",1013953100,0,0,0
"75",1013953200,0,0,0
"76",1013953300,0,1,0
"77",1013953400,0,1,0
"78",1013953500,0,1,0
"79",1015000200,0,0,1
"80",1015000300,0,0,1
"81",1015000400,0,1,1
"82",1015000500,0,1,1
"83",1015000600,0,1,1
"84",1015000700,0,1,1
"85",1015000800,0,1,1
"86",1015000900,0,0,1
"87",1015001000,0,1,1
"88",1015001100,0,1,1
"89",1015001201,0,1,1
"90",1015001202,0,0,1
"91",1015001300,0,1,0
"92",1015001400,0,0,0
"93",1015001500,0,1,0
"94",1015001600,0,0,1
"95",1015001700,0,0,0
"96",1015001800,0,0,1
"97",1015002000,0,1,0
"98",1015002101,0,0,0
"99",1015002102,0,0,0
"100",1015002103,0,1,0
"101",1015002200,0,1,0
"102",1015002300,0,0,0
"103",1015002400,0,1,0
"104",1015002501,0,1,0
"105",1015002502,0,1,0
"106",1015002600,0,1,0
"107",1015981901,0,1,0
"108",1015981902,0,0,0
"109",1015981903,0,0,0
"110",1017953800,0,1,0
"111",1017953900,0,0,0
"112",1017954000,0,1,0
"113",1017954200,0,1,0
"114",1017954300,0,1,0
"115",1017954400,0,0,0
"116",1017954500,0,1,0
"117",1017954600,0,0,0
"118",1017954700,0,0,0
"119",1019955701,0,0,0
"120",1019955702,0,0,0
"121",1019955800,0,0,0
"122",1019955900,0,0,0
"123",1019956000,0,0,0
"124",1019956100,0,0,0
"125",1021060101,0,1,0
"126",1021060102,0,1,0
"127",1021060200,0,0,0
"128",1021060300,0,0,0
"129",1021060401,0,1,0
"130",1021060402,0,1,0
"131",1021060500,0,1,0
"132",1021060600,0,1,0
"133",1021060700,0,1,0
"134",1023956700,0,1,0
"135",1023956800,0,0,0
"136",1023956900,0,0,0
"137",1023957000,0,0,0
"138",1025957500,0,1,0
"139",1025957601,0,0,0
"140",1025957602,0,1,0
"141",1025957700,0,0,0
"142",1025957800,0,1,0
"143",1025957901,0,0,0
"144",1025957902,0,1,0
"145",1025958001,0,1,0
"146",1025958002,0,0,0
"147",1027958900,0,1,0
"148",1027959000,0,0,0
"149",1027959100,0,0,0
"150",1027959200,0,1,0
"151",1029959500,0,1,0
"152",1029959600,0,1,0
"153",1029959700,0,0,0
"154",1029959800,0,0,0
"155",1031010100,0,0,0
"156",1031010200,0,0,0
"157",1031010300,0,0,0
"158",1031010400,0,0,0
"159",1031010500,0,0,0
"160",1031010600,0,1,0
"161",1031010700,0,0,0
"162",1031010800,0,0,0
"163",1031010900,0,1,0
"164",1031011000,0,0,0
"165",1031011100,0,0,0
"166",1031011201,0,1,0
"167",1031011202,0,0,0
"168",1031011300,0,0,0
"169",1033020100,0,0,0
"170",1033020200,0,0,0
"171",1033020300,0,1,0
"172",1033020400,0,0,0
"173",1033020500,0,1,0
"174",1033020600,0,0,0
"175",1033020701,0,1,0
"176",1033020703,0,0,0
"177",1033020704,0,1,0
"178",1033020801,0,0,0
"179",1033020802,0,1,0
"180",1033020901,0,1,0
"181",1033020902,0,1,0
"182",1033021000,0,1,0
"183",1035960200,0,1,0
"184",1035960300,0,1,0
"185",1035960400,0,1,0
"186",1035960500,0,1,0
"187",1035960600,0,1,0
"188",1037961000,0,1,0
"189",1037961100,0,0,0
"190",1037961200,0,0,0
"191",1039961600,0,0,0
"192",1039961700,0,1,0
"193",1039961800,0,0,0
"194",1039961900,0,0,0
"195",1039962000,0,1,0
"196",1039962100,0,1,0
"197",1039962300,0,1,0
"198",1039962400,0,0,0
"199",1039962500,0,0,0
"200",1039962600,0,0,0
"201",1039962700,0,1,0
"202",1039962800,0,0,0
"203",1039962900,0,0,0
"204",1039963000,0,0,0
"205",1041963400,0,0,0
"206",1041963500,0,0,0
"207",1041963600,0,0,0
"208",1041963700,0,0,0
"209",1041963800,0,0,0
"210",1041963900,0,0,0
"211",1043964100,0,0,0
"212",1043964200,0,0,0
"213",1043964300,0,1,0
"214",1043964400,0,0,0
"215",1043964500,0,0,0
"216",1043964600,0,0,0
"217",1043964700,0,0,0
"218",1043964800,0,1,0
"219",1043964900,0,1,0
"220",1043965000,0,1,0
"221",1043965100,0,1,0
"222",1043965200,0,0,0
"223",1043965300,0,0,0
"224",1043965401,0,1,0
"225",1043965402,0,1,0
"226",1043965500,0,0,0
"227",1043965600,0,0,0
"228",1043965700,0,0,0
"229",1045020000,0,1,0
"230",1045020100,0,1,0
"231",1045020200,0,0,0
"232",1045020300,0,1,0
"233",1045020400,0,1,0
"234",1045020500,0,1,0
"235",1045020700,0,0,0
"236",1045020801,0,0,0
"237",1045020802,0,0,0
"238",1045021101,0,1,0
"239",1045021102,0,1,0
"240",1045021200,0,0,0
"241",1045021300,0,1,0
"242",1045021400,0,1,0
"243",1047956100,0,1,0
"244",1047956201,0,1,0
"245",1047956202,0,0,0
"246",1047956300,0,0,0
"247",1047956400,0,0,0
"248",1047956500,0,1,0
"249",1047956600,0,1,0
"250",1047956701,0,0,0
"251",1047956702,0,0,0
"252",1047956800,0,0,0
"253",1047956900,0,1,0
"254",1047957000,0,1,0
"255",1047957100,0,1,0
"256",1047957200,0,1,0
"257",1047957300,0,1,0
"258",1049960100,0,0,0
"259",1049960200,0,0,0
"260",1049960300,0,0,0
"261",1049960400,0,0,0
"262",1049960500,0,0,0
"263",1049960600,0,0,0
"264",1049960700,0,0,0
"265",1049960800,0,1,0
"266",1049960900,0,1,0
"267",1049961000,0,1,0
"268",1049961100,0,0,0
"269",1049961200,0,1,0
"270",1049961300,0,1,0
"271",1049961400,0,1,0
"272",1051030100,0,1,0
"273",1051030200,0,0,0
"274",1051030300,0,0,0
"275",1051030400,0,0,0
"276",1051030500,0,0,0
"277",1051030600,0,0,0
"278",1051030701,0,0,0
"279",1051030702,0,0,0
"280",1051030800,0,0,0
"281",1051030901,0,0,0
"282",1051030902,0,1,0
"283",1051031000,0,0,0
"284",1051031100,0,0,0
"285",1051031200,0,1,0
"286",1051031300,0,1,0
"287",1053969800,0,0,0
"288",1053969900,0,1,0
"289",1053970100,0,1,0
"290",1053970200,0,1,0
"291",1053970300,0,1,0
"292",1053970400,0,1,0
"293",1053970500,0,1,0
"294",1053970600,0,1,0
"295",1053970700,0,1,0
"296",1055000200,0,0,1
"297",1055000300,0,1,1
"298",1055000400,0,0,0
"299",1055000500,0,1,1
"300",1055000600,0,1,1
"301",1055000700,0,0,1
"302",1055000800,0,0,1
"303",1055000900,0,1,1
"304",1055001000,0,0,1
