GEOID,TAZ
480219506001084,1182
480219506001141,1182
480219506001115,1182
480219506001167,1183
480219506001118,1182
480219506001033,1184
480219506001226,1181
480219506001166,1183
480219506001023,1182
480219506001110,1182
480219506001120,1182
480219506001121,1182
480219506001085,1181
480219506001040,1184
480219506001117,1181
480219506001103,1182
480219506001105,1182
480219501005033,1196
480219501003020,2196
480219501002047,2194
480219501003017,1208
480219501003030,2196
480219501003031,2196
480219501003028,2196
480219501003011,1389
480219501003016,1208
480219501002048,2194
480219505022094,1367
480219505022108,1367
480219507001078,1186
480219505022102,1367
480219505013029,1150
480219505013039,1150
480219505023024,1371
480219505013028,1150
480219506001186,1183
480219506002028,1141
480219506001203,1183
480219501001050,1212
480219501005001,1388
480219502003022,1217
480219501005110,1388
480219501002038,1222
480219501002036,1222
480219505022015,1198
480219507002006,1832
480219503001026,1129
480219505022010,1198
480219505022118,1198
480219506001215,1141
480219504004035,1169
480219504004029,1169
480219507004109,1154
480219502001001,1194
480219506001150,1382
480219506001149,1382
480219506001146,1382
480219501004025,1204
480219506001202,1183
480219506001180,1876
480219506001075,1876
480219505023008,1167
480219505013042,1150
480219505013043,1150
480219505023048,1167
480219505013037,1150
480219505013041,1150
480219505013044,1150
480219505013024,1150
480219505013040,1150
480219505013045,1150
480219505013026,1150
480219503001013,1129
480219503001018,1129
480219505023001,1167
480219505023011,1167
480219501002063,1206
480219505023022,1167
480219506001147,1382
480219506002046,1140
480219506001074,1876
480219506001079,1876
480219507002016,1832
480219506001097,1182
480219506001098,1182
480219504005046,1165
480219505021108,1158
480219504005063,1165
480219503005064,1386
480219507002132,1185
480219504005065,1165
480219504005098,1165
480219507002100,1185
480219504005050,1165
480219503005063,1175
480219503005060,1170
480219505021106,1158
480219507004052,1188
480219503005047,1383
480219502001012,1224
480219502001008,1224
480219503002086,1374
480219503001011,1129
480219505021037,1200
480219505021036,1200
480219505021021,1200
480219505021020,1151
480219505021175,1146
480219505021042,1151
480219505021178,1381
480219505021189,1146
480219505021197,1381
480219505021046,1381
480219505021194,1146
480219505021195,1146
480219506003141,1152
480219506001007,1182
480219505021002,1200
480219505021041,1151
480219505021198,1200
480219506002115,1140
480219505022082,1390
480219505022086,1390
480219503002010,1147
480219505021131,1157
480219503005078,1170
480219502001027,1224
480219502005011,1219
480219501005000,1388
480219502001028,1224
480219501001038,1195
480219502001035,1224
480219502005008,1219
480219502001036,1224
480219502001038,1224
480219502001042,1224
480219502001041,1224
480219502005013,1219
480219502005022,1219
480219502001037,1224
480219502001039,1224
480219502005023,1219
480219502001040,1224
480219502001047,1224
480219502001046,1224
480219502001045,1224
480219503003052,1148
480219502002004,1223
480219502005025,1219
480219502001049,1224
480219502002003,1223
480219502005028,1219
480219502002002,1223
480219505022017,1198
480219505022040,1198
480219505021008,1200
480219505022047,1392
480219507001048,1186
480219505022034,1198
480219505022043,1198
480219502002053,1223
480219502002054,1223
480219503002066,1374
480219508011000,1829
480219502003060,1226
480219506003103,1144
480219506002057,1140
480219507004179,1188
480219501003032,2196
480219501003049,2224
480219506003095,1144
480219504001035,1177
