bgid,tractid,juris_name,county_name,mpo
60014001001,6001400100,Oakland,Alameda County,San Francisco Bay Area (MTC)
60855044171,6085504417,Milpitas,Santa Clara County,San Francisco Bay Area (MTC)
60750228032,6075022803,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750228033,6075022803,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750229011,6075022901,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750229012,6075022901,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750229013,6075022901,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750229021,6075022902,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60014034003,6001403400,Oakland,Alameda County,San Francisco Bay Area (MTC)
60014054012,6001405401,Oakland,Alameda County,San Francisco Bay Area (MTC)
60750229031,6075022903,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60014044001,6001404400,Oakland,Alameda County,San Francisco Bay Area (MTC)
60750328011,6075032801,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60014046004,6001404600,Oakland,Alameda County,San Francisco Bay Area (MTC)
60750328022,6075032802,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750328023,6075032802,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750329011,6075032901,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60014062014,6001406201,Oakland,Alameda County,San Francisco Bay Area (MTC)
60750103001,6075010300,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750104001,6075010400,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750104002,6075010400,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750329012,6075032901,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60014075001,6001407500,Oakland,Alameda County,San Francisco Bay Area (MTC)
60750329013,6075032901,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60014081002,6001408100,Oakland,Alameda County,San Francisco Bay Area (MTC)
60014081004,6001408100,Oakland,Alameda County,San Francisco Bay Area (MTC)
60014090002,6001409000,Oakland,Alameda County,San Francisco Bay Area (MTC)
60014096001,6001409600,Oakland,Alameda County,San Francisco Bay Area (MTC)
60750329022,6075032902,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
60750330002,6075033000,San Francisco,San Francisco County,San Francisco Bay Area (MTC)
