ncessch,county_code,y,x,enrollment,TAZ
480000801507,209,30.21586,-98.082261,937.0,98
480000801508,209,30.19823,-98.100971,1669.0,97
480000806094,209,30.20135,-98.116071,1265.0,96
480000806989,209,30.194634,-98.094846,885.0,97
480000811280,209,30.192173,-97.982914,863.0,107
480000905246,209,30.00209,-98.102721,636.0,102
480000906198,209,30.00529,-98.11571,684.0,99
480000906499,209,30.002509,-98.11063,337.0,99
480000907342,209,30.003071,-98.113491,532.0,99
480001005244,209,30.031697,-97.889718,2611.0,122
480001005245,209,29.991501,-97.880053,660.0,125
480001006199,209,30.027405,-97.89094,1027.0,122
480001006346,209,30.06405,-97.818612,660.0,120
480001006990,209,30.094334,-97.891228,0.0,121
480001007343,209,30.084044,-97.845028,500.0,116
480001008834,209,30.094627,-97.891143,4.0,121
480001008835,209,30.03043,-97.890119,142.0,122
480001008836,209,30.097272,-97.882167,951.0,114
480001008837,209,29.991567,-97.88983,950.0,124
480001008838,209,30.089138,-97.87326,796.0,118
480001008839,209,29.995276,-97.848324,566.0,128
480001008840,209,29.94342,-97.827552,906.0,139
480001009290,209,29.975053,-97.860895,747.0,126
480001009624,209,29.9952,-97.84763,2432.0,128
480001010804,209,30.020977,-97.83298,731.0,129
480001010805,209,29.94543,-97.828721,634.0,139
480001010806,209,30.010893,-97.883774,759.0,130
480001010807,209,30.014985,-97.83833,703.0,128
480001010808,209,29.94695,-97.896331,781.0,123
480001010809,209,30.00532,-97.761801,785.0,137
480001011534,209,30.095604,-97.895324,679.0,114
480001012146,209,30.03959,-97.82356,630.0,120
480001609410,453,30.27214,-97.709121,402.0,221
480004408055,453,30.209069,-97.802914,458.0,316
480004412758,453,30.191454,-97.767058,693.0,604
480004412927,453,30.191454,-97.767058,431.0,604
480004413290,453,30.17917,-97.779821,281.0,609
480005309121,209,29.832063,-97.945788,78.0,157
480005313204,491,30.660255,-97.894425,107.0,813
480005808056,453,30.402255,-97.678514,603.0,425
480005809070,453,30.3846,-97.702701,324.0,415
480006408059,453,30.43798,-97.691771,357.0,650
480006608057,453,30.27319,-97.672261,88.0,522
480006612411,453,30.31431,-97.681711,199.0,528
480007108383,453,30.365126,-97.713402,35.0,412
480007108932,209,30.150885,-98.060526,17.0,95
480007109072,453,30.37461,-97.738681,53.0,311
480007109074,491,30.715235,-97.676046,11.0,869
480007109408,453,30.188756,-97.806892,73.0,614
480007111445,209,30.062769,-97.819415,24.0,120
480007112104,453,30.30235,-97.736581,24.0,188
480007113078,491,30.60617,-97.673161,7.0,902
480007113287,453,30.21163,-97.791751,3.0,589
480007113292,453,30.283408,-97.739739,10.0,209
480007612905,491,30.684215,-97.688474,114.0,874
480007612994,491,30.568239,-97.821266,195.0,793
480013208279,209,30.002943,-98.106904,164.0,99
480016312790,453,30.30546,-97.701591,201.0,507
480016312831,021,30.25646,-97.417021,101.0,30
480016313068,491,30.56282,-97.843271,529.0,793
480017912987,453,30.45852,-97.693851,943.0,654
480019408645,209,29.89637,-97.916531,147.0,154
480019412933,453,30.32341,-97.672871,104.0,532
480020708308,453,30.21551,-97.746761,107.0,594
480020709350,453,30.22711,-97.784681,210.0,496
480020712092,453,30.386976,-97.707878,169.0,415
480020713281,453,30.44212,-97.610861,57.0,677
480021112928,453,30.226113,-97.699524,716.0,563
480021112940,453,30.226113,-97.699524,474.0,563
480021113220,453,30.3608,-97.687671,354.0,422
480021113223,453,30.3608,-97.687671,129.0,422
480023209075,453,30.348235,-97.695308,390.0,393
480023512289,491,30.66207,-97.690951,101.0,888
480023512294,491,30.597838,-97.638309,1228.0,957
480024109409,453,30.357075,-97.684723,562.0,434
480024112260,453,30.43958,-97.663801,808.0,659
480024112424,453,30.21052,-97.746321,565.0,594
480024112574,453,30.40058,-97.708521,532.0,460
480024112787,491,30.471655,-97.785287,906.0,838
480024113063,453,30.21007,-97.745391,468.0,594
480025109530,453,30.260354,-97.718125,303.0,231
480025209536,453,30.315321,-97.73911,153.0,177
480025309537,453,30.254616,-97.749017,538.0,251
480025912947,055,29.83636,-97.681611,182.0,67
