,unitid,inst_name,x,y,full_time_enrollment,part_time_enrollment,TAZ
0,108269,Academy of Chinese Culture and Health Sciences,-122.27273600000001,37.806664000000005,111.0,25.0,524
1,108649,Avalon School of Cosmetology-Alameda,-122.24356999999999,37.764202000000004,83.0,52.0,582
2,108667,College of Alameda,-122.27926000000001,37.78239,929.0,5354.0,579
3,108861,American Baptist Seminary of the West,-122.25615,37.865253,27.0,46.0,607
4,110574,California State University-East Bay,-122.058075,37.657070000000004,12333.0,3195.0,703
5,110635,University of California-Berkeley,-122.26042,37.871967,35960.0,2229.0,566
6,111920,Chabot College,-122.10696999999999,37.642513,3799.0,9658.0,712
7,112127,Church Divinity School of the Pacific,-122.26138999999999,37.876166999999995,33.0,47.0,601
8,113704,Dominican School of Philosophy & Theology,-122.26461,37.8811,32.0,25.0,562
9,115214,Graduate Theological Union,-122.26185,37.87554,180.0,28.0,601
10,115728,Holy Names University,-122.18717,37.802654,653.0,396.0,531
11,117247,Laney College,-122.26243600000001,37.796203999999996,2265.0,9402.0,499
12,117520,Life Chiropractic College West,-122.11627,37.637638,537.0,28.0,676
13,117557,Lincoln University,-122.269745,37.804787,538.0,36.0,497
14,118772,Merritt College,-122.167336,37.78909,1038.0,5609.0,532
15,118888,Mills College,-122.18789,37.78264,1241.0,156.0,473
16,118994,Moler Barber College,-122.26508999999999,37.826824,123.0,,516
17,119553,National Holistic Institute,-122.287674,37.8419,644.0,31.0,575
18,120166,Northwestern Polytechnic University,,,,,1
19,120290,Ohlone College,-121.9146,37.527954,3378.0,6815.0,730
20,120740,Pacific Lutheran Theological Seminary,-122.2602,37.89817,46.0,6.0,561
21,120795,Pacific School of Religion,-122.26333000000001,37.8766,106.0,53.0,601
22,121178,Peralta Community College System Office,-122.25972,37.79302,,,626
23,121983,Argosy University-San Francisco Bay Area,-122.267525,37.781240000000004,100.0,230.0,578
24,122296,Samuel Merritt University,-122.26633500000001,37.82029,1274.0,319.0,517
25,123095,Saybrook University,-122.27238999999999,37.80446,311.0,247.0,498
26,123208,Wyotech-Fremont,-121.919395,37.46928,,,365
27,123916,Starr King School for the Ministry,-122.26178,37.876938,47.0,38.0,601
28,124557,University of California-System Administration Central Office,-122.27134,37.802223,,,525
29,125170,Berkeley City College,-122.26978999999999,37.870470000000005,1536.0,5628.0,603
30,126012,The Wright Institute,-122.25317,37.86822,451.0,,602
31,246974,Carrington College-San Leandro,-122.12581999999999,37.701218,436.0,42.0,547
32,366401,Las Positas College,-121.80495,37.70962,2911.0,6001.0,764
33,371779,Heald College-Hayward,-122.11493999999999,37.636590000000005,,,676
34,384306,Acupuncture and Integrative Medicine College-Berkeley,-122.26763999999999,37.862755,75.0,30.0,606
35,437653,The English Center,-122.27538,37.794415,107.0,,526
36,447458,Expression College for Digital Arts,-122.2954,37.84763,429.0,,575
37,447953,SUM Bible College and Theological Seminary,-122.177765,37.73408,489.0,80.0,479
38,458575,Zaytuna College,-122.26078000000001,37.87712,61.0,,601
39,459134,Northern California Institute of Cosmetology Inc,-122.16056999999999,37.7305,13.0,15.0,544
40,459143,Golden State College of Court Reporting,-121.92997,37.69008,31.0,16.0,781
41,459204,Unitek College,-121.96176000000001,37.50904,821.0,,726
42,461175,International College of Cosmetology,-122.22086999999999,37.77497,144.0,45.0,627
43,467058,ITT Technical Institute-Oakland,-122.27331000000001,37.804140000000004,130.0,43.0,498
